DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,2001_ha,2002_ha,2003_ha,2004_ha,2005_ha,2006_ha,2007_ha,2008_ha,2009_ha,2010_ha,2011_ha,2012_ha,2013_ha,2014_ha,2015_ha,2016_ha,2017_ha,2018_ha,2019_ha,2020_ha,2021_ha,2022_ha,2023_ha,2024_ha,HIDROGRAFÍA_ha,BOSQUE AL 2024_ha
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,0.54,0.00,1.53,0.00,1.26,1.53,0.27,0.54,0.36,0.27,0.00,0.36,0.36,2.34,1.71,5.76,8.64,7.47,0.45,3.96,0.18,1.26,3.24,15.03,45.18,833.67
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,1.26,2.70,5.40,0.72,2.34,6.84,1.53,3.42,2.25,1.62,2.88,0.36,0.09,2.43,2.07,1.08,5.31,4.68,0.81,1.53,0.81,3.06,8.91,16.02,14.85,812.88
AMAZONAS,CHACHAPOYAS,BALSAS,010103,3.24,2.61,5.58,10.44,2.61,3.60,5.04,5.76,0.63,7.29,2.07,0.09,0.09,2.16,1.35,4.59,27.54,0.00,0.09,1.71,0.54,0.99,7.02,10.89,0.00,"2,403.72"
AMAZONAS,CHACHAPOYAS,CHETO,010104,8.82,3.06,12.15,7.20,6.03,5.85,3.96,1.89,6.75,2.61,2.79,8.55,4.77,6.21,15.03,12.60,32.58,14.49,8.91,8.73,3.60,19.44,14.40,13.59,0.00,"2,360.34"
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,5.85,13.14,19.89,7.11,9.45,8.46,8.91,11.43,19.44,11.25,7.20,4.23,9.00,12.24,12.42,19.89,47.61,17.19,17.10,14.76,13.68,14.94,24.03,58.41,0.00,"4,814.28"
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,2.07,4.05,7.65,10.44,3.24,1.44,4.05,4.23,2.25,8.82,1.08,0.27,0.09,1.98,2.16,12.06,12.24,0.99,0.00,0.00,0.18,0.00,1.71,9.81,0.00,744.57
AMAZONAS,CHACHAPOYAS,GRANADA,010107,1.08,1.53,3.06,4.23,0.27,1.71,0.18,0.72,1.44,6.75,0.00,0.54,2.07,0.72,2.34,1.08,5.85,4.41,0.54,2.25,0.00,3.78,1.80,5.85,0.00,"1,257.57"
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.09,0.00,0.00,0.00,0.00,0.09,0.00,96.30,1.17
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,0.27,0.00,0.90,0.63,0.90,1.44,1.17,2.43,0.63,0.36,0.63,0.45,1.17,2.07,6.93,13.14,12.60,16.02,5.94,4.77,0.00,12.87,10.53,19.89,0.00,"1,789.56"
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,3.69,1.08,9.27,6.12,1.98,15.66,20.70,20.34,3.87,15.57,9.99,0.18,0.09,6.75,3.51,2.79,33.66,2.07,1.71,1.71,0.09,10.98,18.90,16.65,0.00,"7,339.23"
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,0.81,0.00,0.54,0.09,0.36,0.09,0.27,0.54,0.09,0.09,0.09,0.36,0.27,0.90,1.08,3.15,10.17,4.86,0.36,0.09,0.18,1.26,1.44,10.35,25.56,294.39
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,6.39,2.07,16.20,13.95,4.14,22.14,10.80,3.06,6.93,6.03,1.98,1.17,5.13,10.17,12.96,22.32,38.43,29.07,5.58,8.64,0.72,30.06,17.01,14.67,0.81,"2,726.19"
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,0.00,0.09,0.18,0.00,0.18,0.18,0.09,0.00,0.00,0.09,0.00,0.00,0.18,0.54,1.62,1.62,4.50,7.20,1.44,3.24,0.00,7.29,4.77,6.39,0.00,618.48
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,59.31,108.63,87.75,63.18,69.75,45.54,91.17,45.99,79.38,42.93,25.47,27.54,47.52,44.37,40.68,72.09,99.45,53.01,39.69,69.66,21.87,46.08,97.92,71.46,0.00,"14,126.67"
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,2.79,0.45,4.86,0.72,0.27,0.18,1.35,3.51,0.54,3.06,2.07,1.17,1.08,0.90,2.34,9.63,7.47,3.87,0.81,0.63,0.00,1.17,2.16,0.72,0.90,"6,670.89"
AMAZONAS,CHACHAPOYAS,OLLEROS,010116,2.52,4.59,9.81,2.16,4.59,7.74,5.76,3.78,5.49,4.95,4.32,3.78,7.92,9.72,1.80,16.83,13.95,17.19,4.50,8.19,2.79,7.29,11.61,5.76,9.09,"3,230.73"
AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,2.07,0.90,2.70,0.81,0.63,2.07,0.54,0.81,1.44,1.71,1.17,0.00,0.81,1.17,0.09,1.35,6.75,2.16,1.17,2.07,0.99,0.90,2.52,8.10,0.00,"1,029.60"
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.18,0.00,0.27,0.45,0.18,0.00,0.90,0.00,0.09,0.90,0.45,0.00,39.87
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,4.59,2.97,7.38,5.22,2.52,6.93,4.50,1.26,3.15,2.25,1.35,1.53,2.79,8.28,2.43,3.60,26.91,11.97,3.96,12.69,0.27,5.31,9.45,9.99,0.00,"2,020.14"
AMAZONAS,CHACHAPOYAS,SOLOCO,010120,5.31,0.99,2.97,0.63,0.99,1.26,2.34,2.25,4.59,1.80,1.08,1.80,1.80,2.70,8.91,12.42,13.95,8.46,5.22,7.47,1.89,5.76,3.60,19.08,0.00,"2,264.94"
AMAZONAS,CHACHAPOYAS,SONCHE,010121,0.09,0.09,0.63,0.00,0.81,0.09,0.27,0.00,3.24,0.36,0.00,0.09,0.18,0.36,2.79,0.90,9.90,0.72,0.09,0.90,0.36,0.90,3.15,1.26,28.26,260.46
AMAZONAS,BAGUA,BAGUA,010201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,5.13,2.70,2.25,16.65,1.98,1.08,0.90,0.18,1.08,0.81,2.61,0.00,199.71
AMAZONAS,BAGUA,ARAMANGO,010202,88.11,121.23,129.06,86.31,78.66,200.34,245.97,72.90,120.96,93.60,73.35,138.06,214.83,268.83,178.02,148.05,293.31,149.31,160.20,311.85,145.44,225.54,204.93,269.64,846.72,"53,591.40"
AMAZONAS,BAGUA,COPALLIN,010203,0.63,0.00,0.09,0.09,0.00,0.00,0.18,0.09,0.00,0.00,0.00,0.54,4.95,11.25,1.71,2.25,14.04,4.23,4.68,7.56,0.18,6.84,2.16,32.31,0.54,"3,688.56"
AMAZONAS,BAGUA,EL PARCO,010204,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.09,0.00,0.27,0.00,0.09,3.60,0.18,0.27,0.99,0.00,0.00,0.09,0.09,0.09,32.22
AMAZONAS,BAGUA,IMAZA,010205,328.50,635.49,406.80,318.51,108.63,348.75,908.19,351.18,598.59,484.29,329.49,663.48,1321.20,744.84,1103.22,1023.39,1081.44,930.78,1030.23,1944.27,710.82,1130.40,681.30,1443.24,"8,331.93","398,439.63"
AMAZONAS,BAGUA,LA PECA,010206,0.00,0.00,0.18,1.35,0.45,0.00,0.00,0.00,0.00,0.00,0.00,3.69,10.98,54.54,6.12,4.41,43.74,9.18,6.12,16.11,1.08,35.55,2.52,86.22,0.36,"3,464.46"
AMAZONAS,BONGARA,JUMBILLA,010301,10.08,17.10,19.62,14.67,15.21,15.66,8.01,13.41,8.73,13.86,6.12,13.14,12.78,21.24,17.19,17.73,56.34,28.26,9.27,8.64,20.34,18.54,37.17,36.99,24.39,"4,739.94"
AMAZONAS,BONGARA,CHISQUILLA,010302,0.72,2.70,9.54,2.25,1.98,12.15,7.74,1.80,5.13,6.75,3.96,7.29,15.84,18.09,34.38,36.18,96.75,37.98,7.92,6.21,4.59,13.86,33.93,60.57,52.83,"11,034.63"
AMAZONAS,BONGARA,CHURUJA,010303,4.14,2.07,18.63,7.56,5.76,10.35,3.69,2.43,9.81,5.04,1.17,7.74,10.62,8.01,11.70,11.34,27.00,4.59,10.62,13.50,11.79,11.07,12.78,17.01,29.43,"1,303.11"
AMAZONAS,BONGARA,COROSHA,010304,0.99,1.35,3.87,2.25,1.71,4.05,2.79,2.97,3.96,7.65,0.72,3.15,8.01,15.84,14.58,32.40,36.81,31.95,5.76,15.75,1.71,5.85,12.51,16.29,60.12,"4,175.01"
