DEPARTAMENTO,year,loss_ha
AMAZONAS,2001,3030.12
AMAZONAS,2002,3923.3700000000003
AMAZONAS,2003,3888.81
AMAZONAS,2004,3553.29
AMAZONAS,2005,3621.33
AMAZONAS,2006,3856.05
AMAZONAS,2007,5580.36
AMAZONAS,2008,3047.94
AMAZONAS,2009,4544.7300000000005
AMAZONAS,2010,3594.87
AMAZONAS,2011,3180.87
AMAZONAS,2012,4741.74
AMAZONAS,2013,6667.92
AMAZONAS,2014,5149.53
AMAZONAS,2015,6922.35
AMAZONAS,2016,6966.45
AMAZONAS,2017,8429.130000000001
AMAZONAS,2018,7447.59
AMAZONAS,2019,5796.63
AMAZONAS,2020,11517.57
AMAZONAS,2021,4325.04
AMAZONAS,2022,6423.66
AMAZONAS,2023,4990.95
AMAZONAS,2024,9163.71
AYACUCHO,2001,952.2
AYACUCHO,2002,91.8
AYACUCHO,2003,467.82
AYACUCHO,2004,585.99
AYACUCHO,2005,497.34
AYACUCHO,2006,798.3000000000001
AYACUCHO,2007,719.73
AYACUCHO,2008,193.32
AYACUCHO,2009,1088.19
AYACUCHO,2010,603.18
AYACUCHO,2011,563.5799999999999
AYACUCHO,2012,896.76
AYACUCHO,2013,803.16
AYACUCHO,2014,772.56
AYACUCHO,2015,812.61
AYACUCHO,2016,979.65
AYACUCHO,2017,2780.64
AYACUCHO,2018,1744.02
AYACUCHO,2019,2166.3
AYACUCHO,2020,2710.71
AYACUCHO,2021,893.34
AYACUCHO,2022,463.05
AYACUCHO,2023,456.03
AYACUCHO,2024,484.65
CAJAMARCA,2001,964.08
CAJAMARCA,2002,834.12
CAJAMARCA,2003,514.44
CAJAMARCA,2004,526.32
CAJAMARCA,2005,1388.16
CAJAMARCA,2006,714.3299999999999
CAJAMARCA,2007,1158.57
CAJAMARCA,2008,601.38
CAJAMARCA,2009,735.3
CAJAMARCA,2010,1130.4
CAJAMARCA,2011,973.7099999999999
CAJAMARCA,2012,706.41
CAJAMARCA,2013,842.58
CAJAMARCA,2014,1196.19
CAJAMARCA,2015,1083.42
CAJAMARCA,2016,1907.19
CAJAMARCA,2017,2247.66
CAJAMARCA,2018,1281.1499999999999
CAJAMARCA,2019,608.04
CAJAMARCA,2020,1626.12
CAJAMARCA,2021,387.99
CAJAMARCA,2022,1928.43
CAJAMARCA,2023,840.96
CAJAMARCA,2024,3378.42
CUSCO,2001,5932.71
CUSCO,2002,2570.58
CUSCO,2003,3128.22
CUSCO,2004,3128.22
CUSCO,2005,3640.41
CUSCO,2006,3313.26
CUSCO,2007,2867.2200000000003
CUSCO,2008,2453.4900000000002
CUSCO,2009,4360.5
CUSCO,2010,3611.4300000000003
CUSCO,2011,3328.29
CUSCO,2012,4188.780000000001
CUSCO,2013,3501.36
CUSCO,2014,5087.34
CUSCO,2015,4810.68
CUSCO,2016,5700.150000000001
CUSCO,2017,12181.68
CUSCO,2018,9651.869999999999
CUSCO,2019,7102.89
CUSCO,2020,8856.63
CUSCO,2021,5349.33
CUSCO,2022,3233.43
CUSCO,2023,3464.91
CUSCO,2024,3709.0800000000004
HUANCAVELICA,2001,61.38
HUANCAVELICA,2002,17.37
HUANCAVELICA,2003,18.54
HUANCAVELICA,2004,49.32
HUANCAVELICA,2005,102.51
HUANCAVELICA,2006,22.23
HUANCAVELICA,2007,45.36
HUANCAVELICA,2008,32.85
HUANCAVELICA,2009,27.72
HUANCAVELICA,2010,130.59
HUANCAVELICA,2011,40.32
HUANCAVELICA,2012,11.97
HUANCAVELICA,2013,27.9
HUANCAVELICA,2014,75.69
HUANCAVELICA,2015,72.53999999999999
HUANCAVELICA,2016,238.67999999999998
HUANCAVELICA,2017,19.44
HUANCAVELICA,2018,18.45
HUANCAVELICA,2019,91.89000000000001
HUANCAVELICA,2020,171.27
HUANCAVELICA,2021,21.959999999999997
HUANCAVELICA,2022,42.93
HUANCAVELICA,2023,37.35
HUANCAVELICA,2024,34.019999999999996
HUANUCO,2001,10877.85
HUANUCO,2002,10290.96
HUANUCO,2003,14129.279999999999
HUANUCO,2004,9111.96
HUANUCO,2005,26408.07
HUANUCO,2006,8700.93
HUANUCO,2007,11672.01
HUANUCO,2008,17126.91
HUANUCO,2009,24993.72
HUANUCO,2010,17906.94
HUANUCO,2011,19174.05
HUANUCO,2012,23254.74
HUANUCO,2013,20795.49
HUANUCO,2014,27597.690000000002
HUANUCO,2015,22913.1
HUANUCO,2016,18200.34
HUANUCO,2017,19236.42
HUANUCO,2018,16561.89
HUANUCO,2019,14956.02
HUANUCO,2020,17911.53
HUANUCO,2021,15020.37
HUANUCO,2022,15616.17
HUANUCO,2023,17225.1
HUANUCO,2024,13362.93
JUNIN,2001,8026.5599999999995
JUNIN,2002,3976.92
JUNIN,2003,3311.1000000000004
JUNIN,2004,7810.47
JUNIN,2005,13888.98
JUNIN,2006,5896.71
JUNIN,2007,5040.72
JUNIN,2008,6685.74
JUNIN,2009,9230.58
JUNIN,2010,7196.67
JUNIN,2011,6896.34
JUNIN,2012,7412.13
JUNIN,2013,8229.87
JUNIN,2014,12276.539999999999
JUNIN,2015,9049.77
JUNIN,2016,16376.85
JUNIN,2017,11426.31
JUNIN,2018,8487.72
JUNIN,2019,13957.92
JUNIN,2020,20765.97
JUNIN,2021,12082.23
JUNIN,2022,7893.72
JUNIN,2023,11826.36
JUNIN,2024,7909.83
LA LIBERTAD,2001,24.029999999999998
LA LIBERTAD,2002,27.180000000000003
LA LIBERTAD,2003,15.84
LA LIBERTAD,2004,49.86
LA LIBERTAD,2005,82.26
