DEPARTAMENTO,PROVINCIA,loss_2021_2024_ha
UCAYALI,CORONEL PORTILLO,65375.64
HUANUCO,PUERTO INCA,41995.26
MADRE DE DIOS,TAMBOPATA,41930.37
UCAYALI,ATALAYA,38680.83
MADRE DE DIOS,TAHUAMANU,36200.159999999996
JUNIN,SATIPO,31645.71
UCAYALI,PADRE ABAD,30841.739999999998
LORETO,UCAYALI,29264.04
MADRE DE DIOS,MANU,19657.53
PASCO,OXAPAMPA,18370.71
LORETO,ALTO AMAZONAS,16242.48
LORETO,MARISCAL RAMON CASTILLA,14400.09
SAN MARTIN,BELLAVISTA,12349.8
CUSCO,LA CONVENCION,12208.41
LORETO,DATEM DEL MARAÑON,11811.42
SAN MARTIN,MARISCAL CACERES,11364.66
AMAZONAS,CONDORCANQUI,8971.83
HUANUCO,LEONCIO PRADO,8288.1
LORETO,MAYNAS,8190.27
SAN MARTIN,MOYOBAMBA,7985.789999999999
SAN MARTIN,LAMAS,7407.54
JUNIN,CHANCHAMAYO,6626.79
SAN MARTIN,HUALLAGA,6434.370000000001
SAN MARTIN,SAN MARTIN,5787.18
LORETO,LORETO,5601.6
SAN MARTIN,TOCACHE,5499.09
LORETO,REQUENA,5217.21
AMAZONAS,BAGUA,4983.030000000001
PUNO,SANDIA,4639.05
CAJAMARCA,SAN IGNACIO,4164.66
HUANUCO,MARAÑON,3983.76
SAN MARTIN,PICOTA,3777.0299999999997
AMAZONAS,RODRIGUEZ DE MENDOZA,3681.7200000000003
HUANUCO,PACHITEA,2949.03
AMAZONAS,UTCUBAMBA,2547.9
SAN MARTIN,RIOJA,2473.2
LORETO,PUTUMAYO,2458.44
CAJAMARCA,JAEN,2371.14
AMAZONAS,BONGARA,2318.4
HUANUCO,HUANUCO,2047.3199999999997
SAN MARTIN,EL DORADO,1773.54
CUSCO,PAUCARTAMBO,1707.03
AMAZONAS,LUYA,1619.37
CUSCO,QUISPICANCHI,1492.3799999999999
HUANUCO,HUAMALIES,1461.24
PUNO,CARABAYA,1412.46
AYACUCHO,HUANTA,1207.8
AYACUCHO,LA MAR,1089.27
AMAZONAS,CHACHAPOYAS,781.11
JUNIN,JAUJA,607.68
PASCO,PASCO,473.22
UCAYALI,PURUS,431.46000000000004
HUANUCO,HUACAYBAMBA,392.76
JUNIN,HUANCAYO,374.67
LA LIBERTAD,PATAZ,354.69
CUSCO,CALCA,328.40999999999997
PIURA,HUANCABAMBA,299.52
JUNIN,JUNIN,256.86
HUANCAVELICA,TAYACAJA,136.26
JUNIN,CONCEPCION,124.56
HUANUCO,DOS DE MAYO,107.1
JUNIN,TARMA,75.87
PIURA,AYABACA,41.129999999999995
PUNO,SAN ANTONIO DE PUTINA,37.89
CUSCO,URUBAMBA,20.52
LA LIBERTAD,BOLIVAR,6.12
