DEPARTAMENTO,n,mae,rmse,r2,sum_observed,sum_pred
HUANCAVELICA,16,14.855423089043676,19.377919156489206,-6.101658261705981,121.41,359.0967694246988
LA LIBERTAD,12,13.249680499415431,26.9216201080019,0.7014824322866045,360.81000000000006,417.5002281941153
PIURA,20,23.957188590662742,31.929130676876277,-0.12930965835521335,340.65,751.4307298445948
AYACUCHO,52,44.25575984966719,80.97266954012336,-2.514547826643079,2227.5,4204.18488360618
CAJAMARCA,76,65.89598327534017,92.35405980242652,0.32992979708584114,6535.799999999999,7136.172922107916
AMAZONAS,332,39.77358018635575,121.76043911997547,0.6535115637220517,24902.190000000002,32176.477317733603
PUNO,64,100.73252678798843,193.04225550329707,-0.2801381511965142,6089.4,10576.27260028367
HUANUCO,124,132.55551973131784,229.7556620791553,0.9108252042989092,61173.18,67037.10869294105
SAN MARTIN,308,130.2283100491098,244.71011404029002,0.5126718841307024,64412.37000000001,99008.38248438184
CUSCO,88,161.3833040174675,274.5993527499807,-0.07252198280266886,14144.399999999998,27480.164661775743
JUNIN,112,107.36631072187409,275.1144596645842,0.8773785179570939,39711.78,42185.98620547311
LORETO,212,297.51439203844905,422.5834330968018,0.2937714102600475,93185.55000000002,125559.3223779827
PASCO,44,408.91465343842594,733.0669751337376,-0.4902740482799879,18843.93,36165.45345935674
UCAYALI,68,831.4577075834884,1361.430376099622,0.48861652244049203,131623.56,109081.90508780572
MADRE DE DIOS,44,1009.6148425616266,1665.331457737529,0.24217938020342233,97788.06,70105.15695745106
