NOMBDEP,baseline_pred_ha,scenario_pred_ha,delta_ha
AMAZONAS,7123.082801117891,6646.560655358469,-476.52214575942173
AYACUCHO,1075.5471534759142,968.1747723796841,-107.37238109623016
CAJAMARCA,1489.5533916866489,1534.2456716561146,44.692279969465645
CUSCO,5772.238919718588,5817.027660713601,44.78874099501367
HUANCAVELICA,93.38315387556875,87.55618665770504,-5.826967217863693
HUANUCO,20849.625116892807,20603.340577429302,-246.28453946350595
JUNIN,10547.487025241686,10059.048718611723,-488.4383066299621
LA LIBERTAD,106.38677117164698,116.72442898124841,10.337657809601415
LORETO,38009.76408890937,38099.890976046976,90.12688713761243
MADRE DE DIOS,18438.397603404504,18383.381095629364,-55.016507775141264
PASCO,8867.632589309436,9128.030044832032,260.3974555225963
PIURA,257.1639666215542,183.55180525176692,-73.61216136978726
PUNO,1903.388063835708,2089.3491582378483,185.96109440214056
SAN MARTIN,26668.14647389806,26391.643528895027,-276.5029450030339
UCAYALI,31057.61205971081,30886.396983372204,-171.21507633860503
