UBIGEO,NOMBDEP,Región,Cluster,baseline_pred_ha,scenario,scenario_pred_ha,delta_ha,pct_delta
100403,HUANUCO,SIERRA,1,83.91274200639396,bad,75.03051677023298,-8.882225236160977,-0.10585073284202978
220705,SAN MARTIN,SELVA,1,49.06420272659643,bad,38.94458369247143,-10.119619034124995,-0.20625259296508272
160702,LORETO,SELVA,4,611.8062752366151,bad,612.3786872463643,0.5724120097492005,0.0009356099028696969
220902,SAN MARTIN,SELVA,1,21.366172638282496,bad,17.812439701155327,-3.553732937127169,-0.16632519999205778
10521,AMAZONAS,SIERRA,1,4.129292851425595,bad,2.5741552249299504,-1.555137626495645,-0.37661112506436784
100502,HUANUCO,SIERRA,1,5.082807890696964,bad,5.4804991755727475,0.3976912848757834,0.07824243871260128
160110,LORETO,SELVA,1,274.7233800854269,bad,211.26748769089733,-63.4558923945296,-0.2309810412743087
160803,LORETO,SELVA,4,671.183538147978,bad,527.3108236014781,-143.87271454649988,-0.214356739057536
220601,SAN MARTIN,SELVA,4,395.93678894284346,bad,332.347664120202,-63.58912482264145,-0.16060423430827245
120205,JUNIN,SIERRA,1,3.2774874925256494,bad,2.652560814039103,-0.6249266784865464,-0.1906724830870291
220405,SAN MARTIN,SELVA,1,67.14450836239506,bad,63.930900245511864,-3.2136081168831936,-0.04786107151963311
220403,SAN MARTIN,SELVA,1,28.25306024291326,bad,39.71422497800677,11.461164735093508,0.4056610022614567
100103,HUANUCO,SIERRA,1,207.82856114106005,bad,230.98405129331323,23.15549015225318,0.11141630402058546
100802,HUANUCO,SIERRA,4,410.5897746184132,bad,433.4162690124259,22.82649439401274,0.05559440542625991
250103,UCAYALI,SELVA,5,2577.136573977871,bad,2581.6657899394104,4.529215961539194,0.001757460589117418
190308,PASCO,SELVA,5,2289.983081380116,bad,2326.6734111856304,36.690329805514466,0.016022096452958122
100905,HUANUCO,SELVA,3,3202.5895882252044,bad,2966.544357553794,-236.04523067141054,-0.0737044894978944
160202,LORETO,SELVA,5,1617.326320182197,bad,1809.148127851334,191.82180766913712,0.1186042700693375
220304,SAN MARTIN,SELVA,1,68.73862426480112,bad,77.00923827222653,8.270614007425408,0.12031974884403569
210308,PUNO,SIERRA,1,11.597072324529314,bad,10.678458943193068,-0.9186133813362467,-0.07921080041841767
160206,LORETO,SELVA,4,567.92850067815,bad,565.4365130844345,-2.491987593715521,-0.004387854440726073
160305,LORETO,SELVA,4,879.535262930347,bad,891.3049830564215,11.769720126074503,0.013381749001013712
160205,LORETO,SELVA,4,723.7645916387808,bad,745.2013571873189,21.43676554853812,0.029618422614458132
10103,AMAZONAS,SIERRA,1,13.999306966518205,bad,10.112128680115292,-3.8871782864029125,-0.27766933718217485
220511,SAN MARTIN,SELVA,1,40.921750456705055,bad,43.66141526872775,2.7396648120226956,0.06694886659164893
190107,PASCO,SIERRA,1,45.7534686505122,bad,47.19345193177844,1.4399832812662439,0.03147265822107508
220303,SAN MARTIN,SELVA,2,602.0369626266266,bad,591.5722739882126,-10.464688638414032,-0.01738213646012306
220507,SAN MARTIN,SELVA,1,10.31278340461013,bad,10.042937636695981,-0.2698457679141484,-0.026166143254159595
60812,CAJAMARCA,SELVA,1,54.967209149011495,bad,50.90695957528354,-4.060249573727958,-0.07386675868372655
10514,AMAZONAS,SIERRA,1,46.35889731862264,bad,34.18988173944421,-12.169015579178428,-0.2624957944004001
250204,UCAYALI,SELVA,1,235.75904186999514,bad,211.91951497776125,-23.83952689223389,-0.10111818704022282
10601,AMAZONAS,SELVA,1,19.71280159350258,bad,19.55563649320655,-0.15716510029603015,-0.007972742968601298
200301,PIURA,SIERRA,1,2.807611306916016,bad,1.260317445858735,-1.5472938610572808,-0.5511068634200956
220704,SAN MARTIN,SELVA,1,18.518971879394943,bad,15.437037651126126,-3.0819342282688176,-0.16642037410823649
220710,SAN MARTIN,SELVA,4,422.164487771587,bad,423.1394020285562,0.974914256969214,0.0023093232263929632
80404,CUSCO,SIERRA,1,4.217922691946842,bad,2.1181353054487455,-2.0997873864980963,-0.4978250053058487
220702,SAN MARTIN,SELVA,1,69.52304131906197,bad,56.78125798944357,-12.741783329618407,-0.18327425106652862
10515,AMAZONAS,SIERRA,1,15.654631579350342,bad,15.46149405747428,-0.19313752187606248,-0.012337404486147452
10504,AMAZONAS,SIERRA,1,9.762651469887572,bad,8.558374477130872,-1.2042769927567,-0.12335552451823507
10603,AMAZONAS,SELVA,1,99.13236855270873,bad,61.34647401154898,-37.78589454115975,-0.38116606203219056
100505,HUANUCO,SIERRA,1,48.43737751914176,bad,35.14609780843756,-13.291279710704202,-0.2744013072435988
220909,SAN MARTIN,SELVA,1,63.74051918893409,bad,61.07679157171938,-2.663727617214704,-0.04179017759988925
220914,SAN MARTIN,SELVA,1,76.07309205379971,bad,126.88847805178,50.815385997980286,0.6679810774885172
220509,SAN MARTIN,SELVA,1,7.686527001607221,bad,6.493126327837878,-1.193400673769343,-0.15525876296535585
160603,LORETO,SELVA,4,602.8221985528021,bad,574.2786797028475,-28.54351884995458,-0.047349813790001645
190304,PASCO,SELVA,5,2176.4635015599706,bad,2207.7898842838154,31.326382723844745,0.014393249738114927
211204,PUNO,SIERRA,1,6.972775204668839,bad,4.095270854759609,-2.8775043499092297,-0.41267705690304013
50409,AYACUCHO,SIERRA,1,130.97043181834803,bad,112.31604127961133,-18.654390538736706,-0.142432076307191
100801,HUANUCO,SIERRA,1,158.03149864609037,bad,69.1522283833246,-88.87927026276577,-0.5624149047767358
100804,HUANUCO,SIERRA,1,1.9769441510137553,bad,1.6363563233417926,-0.3405878276719627,-0.17227994402235036
10501,AMAZONAS,SIERRA,1,1.507872504225905,bad,0.7428649979201818,-0.7650075063057231,-0.5073423012633647
80901,CUSCO,SELVA,1,19.85392343162796,bad,19.134283355557553,-0.7196400760704051,-0.03624674380097561
120706,JUNIN,SIERRA,1,4.737981570945934,bad,4.5480611505179,-0.1899204204280336,-0.04008466845727223
170302,MADRE DE DIOS,SELVA,5,2699.9673892918536,bad,2602.7635380013317,-97.20385129052192,-0.03600186123581904
80914,CUSCO,SELVA,2,1074.847549436707,bad,1125.4661231913024,50.618573754595445,0.04709372392496314
120306,JUNIN,SELVA,1,80.70960337327074,bad,80.23289455878353,-0.4767088144872105,-0.0059064695471553515
120606,JUNIN,SELVA,5,2214.864169982926,bad,2014.305810491016,-200.55835949190987,-0.09055108760617855
10611,AMAZONAS,SELVA,1,5.671125088428706,bad,4.374120048114782,-1.2970050403139242,-0.22870330315237047
120305,JUNIN,SELVA,1,127.95902085794482,bad,123.06919138944163,-4.889829468503194,-0.03821402692610234
170101,MADRE DE DIOS,SELVA,5,2223.3321033829116,bad,2199.486044270345,-23.846059112566763,-0.01072536985198198
220603,SAN MARTIN,SELVA,5,2049.2600781127026,bad,2083.2517231132842,33.991645000581684,0.016587277214655353
10518,AMAZONAS,SIERRA,1,71.28338879593741,bad,47.20858692010127,-24.074801875836144,-0.3377336891874621
10705,AMAZONAS,SELVA,1,87.30833383735772,bad,66.9230984224693,-20.385235414888427,-0.233485562247277
60802,CAJAMARCA,SELVA,1,73.6231222513748,bad,71.29972819269092,-2.323394058683874,-0.03155793978352349
60811,CAJAMARCA,SELVA,1,110.41809396647974,bad,140.95040194897047,30.53230798249072,0.2765154413167066
60904,CAJAMARCA,SELVA,1,98.34275763710033,bad,106.02534358858385,7.682585951483517,0.07812050562821742
210307,PUNO,SIERRA,1,13.431228338455425,bad,21.138346890845803,7.707118552390378,0.5738208269696268
220707,SAN MARTIN,SELVA,1,31.86189769474885,bad,37.99897471876362,6.1370770240147685,0.192614924660505
211201,PUNO,SIERRA,1,24.73874087549448,bad,21.93213114489722,-2.806609730597259,-0.1134499829527464
50408,AYACUCHO,SELVA,1,207.29233043189726,bad,233.64318220083604,26.35085176893878,0.12711927987898208
50502,AYACUCHO,SIERRA,1,110.82340128767201,bad,54.99894928010504,-55.824452007566975,-0.503724406207851
50509,AYACUCHO,SELVA,1,49.84897419384026,bad,65.21391545317229,15.364941259332028,0.3082298383831265
211207,PUNO,SELVA,1,35.596433503705434,bad,41.81729174660451,6.220858242899077,0.1747607170322699
220104,SAN MARTIN,SELVA,4,278.2060114340869,bad,275.23239524831405,-2.973616185772869,-0.010688540374970953
50510,AYACUCHO,SIERRA,1,46.086110494991395,bad,30.374922291048676,-15.711188203942719,-0.34090939841083356
10605,AMAZONAS,SELVA,4,334.6559809063999,bad,327.61883075751723,-7.037150148882688,-0.02102801249755913
160113,LORETO,SELVA,2,912.0516841132403,bad,981.9827988809787,69.93111476773845,0.07667450867735671
160101,LORETO,SELVA,1,129.41613807584136,bad,126.43782434288752,-2.9783137329538363,-0.02301346475976948
220305,SAN MARTIN,SELVA,1,16.981277943846116,bad,16.188395339546588,-0.7928826042995283,-0.04669157450466576
220801,SAN MARTIN,SELVA,1,85.3594319786983,bad,85.49035803409363,0.13092605539533508,0.0015338206026020425
220102,SAN MARTIN,SELVA,1,83.36945762221178,bad,71.51178522996935,-11.857672392242435,-0.14223041303657522
220803,SAN MARTIN,SELVA,1,69.13637431137506,bad,75.82241561772604,6.6860413063509725,0.09670801185261045
220504,SAN MARTIN,SELVA,2,972.3042962497075,bad,991.2024203907911,18.8981241410836,0.019436429741158088
10706,AMAZONAS,SELVA,1,78.77384470607537,bad,75.51729430797633,-3.256550398099037,-0.04134050344057764
220510,SAN MARTIN,SELVA,4,214.93039944813313,bad,253.23657426189803,38.3061748137649,0.1782259508758272
220101,SAN MARTIN,SELVA,3,2389.343713253806,bad,2389.0986678038275,-0.24504544997853372,-0.00010255763899486485
160701,LORETO,SELVA,4,591.9498950581875,bad,545.7289566642249,-46.22093839396257,-0.07808251809795344
