NOMBDEP,baseline_pred_ha,scenario_pred_ha,delta_ha
AMAZONAS,8058.514113366441,7850.79831447118,-207.7157988952609
AYACUCHO,1002.0934080807051,956.5497110167722,-45.54369706393289
CAJAMARCA,1643.992663064572,1653.1277711694026,9.135108104830458
CUSCO,6284.8550294782035,6444.28069151411,159.42566203590698
HUANCAVELICA,94.33528801253306,92.32012865183042,-2.0151593607026337
HUANUCO,17435.104743171436,16800.21573784935,-634.889005322084
JUNIN,10052.755462964082,10099.253348147939,46.49788518385762
LA LIBERTAD,87.33932985954905,103.85880300621189,16.519473146662833
LORETO,31680.92415962138,31470.107817567354,-210.81634205402392
MADRE DE DIOS,17908.35997190691,17910.342605665715,1.982633758807765
PASCO,8566.57301051598,8598.860623493025,32.28761297704562
PIURA,217.89076412441636,179.94388762167358,-37.94687650274281
PUNO,2411.288948770086,2482.4025829233665,71.1136341532809
SAN MARTIN,24637.65321979353,24506.784170835468,-130.86904895806012
UCAYALI,27801.1646117919,27337.56871185596,-463.59589993593966
