NOMBDEP,baseline_pred_ha,scenario_pred_ha,delta_ha
AMAZONAS,7123.082801117891,6803.408116329919,-319.67468478797235
AYACUCHO,1075.5471534759142,955.3087574813557,-120.23839599455862
CAJAMARCA,1489.5533916866489,1496.8930136241752,7.339621937526305
CUSCO,5772.238919718588,5787.068250985016,14.829331266428305
HUANCAVELICA,93.38315387556875,91.77898849013633,-1.6041653854324185
HUANUCO,20849.625116892807,20913.312310518835,63.68719362602683
JUNIN,10547.487025241686,10523.507628511883,-23.979396729802286
LA LIBERTAD,106.38677117164698,116.37172213558604,9.98495096393905
LORETO,38009.76408890937,38023.14518158532,13.381092675953283
MADRE DE DIOS,18438.397603404504,18493.70335547243,55.3057520679248
PASCO,8867.632589309436,8886.17803449437,18.545445184934533
PIURA,257.1639666215542,179.09870175395037,-78.06526486760383
PUNO,1903.388063835708,1958.5457114261062,55.15764759039811
SAN MARTIN,26668.14647389806,26422.20241642896,-245.9440574690979
UCAYALI,31057.61205971081,30951.9043582581,-105.70770145270981
