UBIGEO,NOMBDEP,Región,Cluster,baseline_pred_ha,scenario,scenario_pred_ha,delta_ha,pct_delta
100403,HUANUCO,SIERRA,1,60.37151138740654,mild,74.52201980774379,14.150508420337246,0.23439049470755893
220705,SAN MARTIN,SELVA,1,70.51041486226077,mild,69.3176720391067,-1.1927428231540773,-0.016915838964840186
160702,LORETO,SELVA,4,626.0353043111847,mild,643.9350341910759,17.899729879891197,0.028592205194539217
220902,SAN MARTIN,SELVA,1,20.48369167985774,mild,19.54298150599808,-0.9407101738596602,-0.04592483564789692
10521,AMAZONAS,SIERRA,1,3.612510815215094,mild,2.387355808944653,-1.225155006270441,-0.33914223899631246
100502,HUANUCO,SIERRA,1,3.374263000337887,mild,3.794404792198457,0.4201417918605701,0.12451364692630615
160110,LORETO,SELVA,1,279.3331447883818,mild,238.40577232824123,-40.92737246014056,-0.14651813873053435
160803,LORETO,SELVA,4,517.905785477569,mild,534.4207686806607,16.514983203091674,0.031888006788460474
220601,SAN MARTIN,SELVA,4,267.0562948479158,mild,264.57967816270684,-2.476616685208967,-0.009273762622294148
120205,JUNIN,SIERRA,1,2.1469983351368094,mild,2.427217066337784,0.2802187312009745,0.13051651070941264
220405,SAN MARTIN,SELVA,1,50.41443630046538,mild,52.0133549176637,1.598918617198315,0.03171549132611357
220403,SAN MARTIN,SELVA,1,17.848958002274134,mild,25.8379736016148,7.989015599340664,0.4475900272902645
100103,HUANUCO,SIERRA,1,207.53103740690318,mild,197.7567733864867,-9.774264020416467,-0.04709784205073965
100802,HUANUCO,SIERRA,4,339.2489589235381,mild,318.7487996716142,-20.50015925192389,-0.06042806827461579
250103,UCAYALI,SELVA,5,2060.2409046099533,mild,2017.557479618916,-42.68342499103733,-0.020717686410132795
190308,PASCO,SELVA,5,2434.6335554589396,mild,2483.5557731747954,48.92221771585582,0.020094283842495453
100905,HUANUCO,SELVA,3,2689.398828628509,mild,2601.6550509365716,-87.74377769193734,-0.03262579605446
160202,LORETO,SELVA,5,1313.8859400522244,mild,1323.5934925192937,9.707552467069263,0.0073884286079531425
220304,SAN MARTIN,SELVA,1,96.93012996287563,mild,97.23183432999545,0.3017043671198252,0.0031125963334143717
210308,PUNO,SIERRA,1,20.691066248888617,mild,18.10856495551458,-2.5825012933740368,-0.1248123833885434
160206,LORETO,SELVA,4,543.9239834813159,mild,509.78027254821683,-34.143710933099044,-0.06277294616531999
160305,LORETO,SELVA,4,635.9710243558338,mild,643.5292236527459,7.5581992969121075,0.01188450260696657
160205,LORETO,SELVA,4,542.2316803786364,mild,532.8264476359573,-9.405232742679118,-0.01734541356217238
10103,AMAZONAS,SIERRA,1,21.33007403820582,mild,18.332220446699697,-2.9978535915061215,-0.1405458596222616
220511,SAN MARTIN,SELVA,1,31.203141768774543,mild,29.839020705181838,-1.3641210635927052,-0.04371742671623541
190107,PASCO,SIERRA,1,42.31728844106017,mild,44.07786521748927,1.7605767764290974,0.04160419632938537
220303,SAN MARTIN,SELVA,2,401.2808277186221,mild,407.284145666306,6.003317947683911,0.01496039066160777
220507,SAN MARTIN,SELVA,1,8.306760057592683,mild,7.849369827337929,-0.4573902302547541,-0.05506241026387691
60812,CAJAMARCA,SELVA,1,90.5486039371882,mild,89.70930221442346,-0.8393017227647448,-0.009269074135554337
10514,AMAZONAS,SIERRA,1,34.56015898665588,mild,28.983555181176616,-5.576603805479262,-0.16135932151332003
250204,UCAYALI,SELVA,1,243.03963865139315,mild,224.35886604288578,-18.680772608507368,-0.07686306938310734
10601,AMAZONAS,SELVA,1,16.451249307243025,mild,15.586790483949187,-0.8644588232938375,-0.05254669764886734
200301,PIURA,SIERRA,1,3.8894520414739286,mild,3.013144122632179,-0.8763079188417495,-0.22530369560995228
220704,SAN MARTIN,SELVA,1,14.94259297936354,mild,14.402039432534133,-0.5405535468294076,-0.0361753510636299
220710,SAN MARTIN,SELVA,4,423.8243530296656,mild,438.15323372259,14.328880692924429,0.03380853551830109
80404,CUSCO,SIERRA,1,2.2544209746750847,mild,1.9349262616863416,-0.3194947129887431,-0.14171918935184225
220702,SAN MARTIN,SELVA,1,73.04038808258277,mild,74.27897261181396,1.23858452923119,0.016957529412778997
10515,AMAZONAS,SIERRA,1,10.38904034541236,mild,10.337851736661506,-0.05118860875085396,-0.00492717393030994
10504,AMAZONAS,SIERRA,1,5.964844574921456,mild,5.268567903692219,-0.6962766712292368,-0.11673006102399663
10603,AMAZONAS,SELVA,1,70.53108173484193,mild,72.01272043017028,1.4816386953283427,0.02100689027992636
100505,HUANUCO,SIERRA,1,39.89074053217907,mild,38.38759609476472,-1.503144437414356,-0.03768153755385411
220909,SAN MARTIN,SELVA,1,61.71722383408633,mild,63.10766565450469,1.39044182041836,0.02252923469396919
220914,SAN MARTIN,SELVA,1,90.36056223904494,mild,90.07991852475317,-0.28064371429177015,-0.0031058208065299483
220509,SAN MARTIN,SELVA,1,4.886802293676036,mild,5.192648280690197,0.30584598701416077,0.06258611841325219
160603,LORETO,SELVA,4,541.7519041270417,mild,534.9216628349999,-6.830241292041819,-0.012607692266532609
190304,PASCO,SELVA,5,2428.604070654437,mild,2542.5699173915737,113.96584673713687,0.04692648263017465
211204,PUNO,SIERRA,1,5.795165249956382,mild,4.531432560757949,-1.2637326891984326,-0.21806672194687535
50409,AYACUCHO,SIERRA,1,142.05015799136973,mild,145.82810970758567,3.777951716215938,0.026595899431843418
100801,HUANUCO,SIERRA,1,124.15794407725838,mild,110.24269630839382,-13.91524776886456,-0.11207698284860189
100804,HUANUCO,SIERRA,1,1.187951895060302,mild,1.4037583029040972,0.21580640784379512,0.18166258140683422
10501,AMAZONAS,SIERRA,1,0.6780265288776708,mild,0.529219873917871,-0.14880665495979983,-0.21947025466115272
80901,CUSCO,SELVA,1,17.051275941065974,mild,19.129416351246007,2.0781404101800334,0.12187594742837272
120706,JUNIN,SIERRA,1,3.5672852495061913,mild,3.5695268083962852,0.00224155889009392,0.0006283654749516351
170302,MADRE DE DIOS,SELVA,5,2173.3746887040425,mild,2102.7582661520214,-70.61642255202105,-0.0324916006977742
80914,CUSCO,SELVA,2,1205.616369612759,mild,1181.6651361660388,-23.951233446720153,-0.019866380426149348
120306,JUNIN,SELVA,1,55.15106535036902,mild,56.120613695970285,0.9695483456012681,0.01757986612664375
