feature,mean_abs_shap
form_boscosa,1.182053
area_agropec,0.47735417
tmean,0.28489774
YEAR,0.27970427
pp,0.14287339
Región_SELVA,0.08994494
dens_pob,0.081582904
NOMBDEP_SAN_MARTIN,0.07166581
Dist_ANP,0.066954784
NOMBDEP_LORETO,0.06032824
Coca_ha,0.05989978
Infraestructura,0.05062152
Río_lago_u_océano,0.039695047
Población,0.0377953
hum_suelo,0.03609158
Pbi_dist,0.036048133
NOMBDEP_AMAZONAS,0.032742884
IDH,0.03230879
Dist_cat_Min,0.028330792
NOMBDEP_CAJAMARCA,0.020672593
NOMBDEP_CUSCO,0.015156411
NOMBDEP_UCAYALI,0.015081441
Efic_gasto,0.013697036
NOMBDEP_PUNO,0.010521724
NOMBDEP_HUANUCO,0.010055979
Yuca_ha,0.008552054
Minería,0.0056055645
Pobreza,0.0054388028
NOMBDEP_JUNIN,0.004702402
Región_SIERRA,0.004076733
NOMBDEP_PIURA,0.0020478058
NOMBDEP_PASCO,0.0018230212
NOMBDEP_LA_LIBERTAD,0.0013347699
NOMBDEP_MADRE_DE_DIOS,0.0008545286
NOMBDEP_HUANCAVELICA,0.0007692391
NOMBDEP_AYACUCHO,0.00033736
Región_ltNA>,0.0
NOMBDEP_ltNA>,0.0
